Time	Cactus
"2019-10-11"	2
"2019-11-10"	6
"2019-12-10"	3
"2020-01-09"	3
"2020-02-08"	4
"2020-03-09"	5
"2020-04-08"	2
"2020-05-08"	8
"2020-06-07"	6
"2020-07-07"	6
"2020-08-06"	6
"2020-09-05"	4
"2020-10-05"	7
"2020-11-04"	6
"2020-12-04"	3
"2021-01-03"	4
"2021-02-02"	6
"2021-03-04"	8
"2021-04-03"	2
