"2017-07",Caliper,2
"2017-08",Caliper,4
"2017-09",Caliper,1
"2017-11",Caliper,1
"2017-12",Caliper,2
"2018-01",Caliper,1
"2018-02",Caliper,4
"2018-03",Caliper,6
"2018-04",Caliper,8
"2018-05",Caliper,6
"2018-06",Caliper,7
"2018-07",Caliper,7
"2018-08",Caliper,4
"2018-09",Caliper,5
"2018-10",Caliper,6
"2018-11",Caliper,6
"2018-12",Caliper,7
"2019-01",Caliper,5
"2019-02",Caliper,8
"2019-03",Caliper,5
"2019-04",Caliper,7
"2019-05",Caliper,4
"2019-06",Caliper,4
"2019-07",Caliper,6
"2019-08",Caliper,5
"2019-09",Caliper,4
"2019-10",Caliper,6
"2019-11",Caliper,6
"2019-12",Caliper,5
"2020-01",Caliper,4
"2020-02",Caliper,4
"2020-03",Caliper,4
"2020-04",Caliper,8
"2020-05",Caliper,4
"2020-06",Caliper,4
"2020-07",Caliper,5
"2020-08",Caliper,4
"2020-09",Caliper,4
"2020-10",Caliper,6
"2020-11",Caliper,2
"2020-12",Caliper,1
"2021-01",Caliper,3
"2021-02",Caliper,1
"2021-03",Caliper,1
