"2016-03",Sawtooth,11
"2016-04",Sawtooth,12
"2016-05",Sawtooth,19
"2016-06",Sawtooth,20
"2016-07",Sawtooth,18
"2016-08",Sawtooth,17
"2016-09",Sawtooth,14
"2016-10",Sawtooth,17
"2016-11",Sawtooth,14
"2016-12",Sawtooth,15
"2017-01",Sawtooth,15
"2017-02",Sawtooth,16
"2017-03",Sawtooth,15
"2017-04",Sawtooth,24
"2017-05",Sawtooth,21
"2017-06",Sawtooth,15
"2017-07",Sawtooth,15
"2017-08",Sawtooth,12
"2017-09",Sawtooth,17
"2017-10",Sawtooth,18
"2017-11",Sawtooth,23
"2017-12",Sawtooth,22
"2018-01",Sawtooth,18
"2018-02",Sawtooth,19
"2018-03",Sawtooth,24
"2018-04",Sawtooth,24
"2018-05",Sawtooth,18
"2018-06",Sawtooth,19
"2018-07",Sawtooth,22
"2018-08",Sawtooth,22
"2018-09",Sawtooth,30
"2018-10",Sawtooth,32
"2018-11",Sawtooth,31
"2018-12",Sawtooth,26
"2019-01",Sawtooth,26
"2019-02",Sawtooth,22
"2019-03",Sawtooth,30
"2019-04",Sawtooth,25
"2019-05",Sawtooth,22
"2019-06",Sawtooth,15
"2019-07",Sawtooth,9
"2019-08",Sawtooth,12
"2019-09",Sawtooth,9
"2019-10",Sawtooth,10
"2019-11",Sawtooth,5
"2019-12",Sawtooth,9
"2020-01",Sawtooth,7
"2020-02",Sawtooth,4
"2020-03",Sawtooth,3
"2020-04",Sawtooth,5
"2020-05",Sawtooth,3
"2020-06",Sawtooth,9
"2020-07",Sawtooth,6
"2020-08",Sawtooth,6
"2020-09",Sawtooth,6
"2020-10",Sawtooth,4
"2020-11",Sawtooth,3
"2020-12",Sawtooth,2
"2021-01",Sawtooth,2
"2021-02",Sawtooth,3
"2021-03",Sawtooth,4
